,Importance,Feature
0,0.07497847240092227,Albumin_no test
1,0.03315504101809918,DIAGNOSIS_ASPIRATION; FAILURE TO THRIVE
2,0.029843495740661745,Hemoglobin_Blood_Gas_abnormal
3,0.029362243749893432,DIAGNOSIS_MULTIPLE MYELOMA\BONE MARROW TRANSPLANT
4,0.022709862917027288,DIAGNOSIS_AMC;FEVER
5,0.01933078764697635,DIAGNOSIS_APLASTIC ANEMIA;PANCYTOPENIA
6,0.017339451609379698,Lactate_normal
7,0.01643006973595059,DIAGNOSIS_ANEMIA
8,0.015106412935879299,DIAGNOSIS_MULTIPLE MYELOMA;FEVER;NEUTROPENIA
9,0.013341907231394286,DIAGNOSIS_HEPATACELLULAR CARCINOMA/SDA
10,0.011504523286326849,DIAGNOSIS_INFECTED LEG
11,0.011476165249137128,DIAGNOSIS_SEPSIS
12,0.011435003482157735,DIAGNOSIS_MYELOFIBROSIS\BONE MARROW TRANSPLANT
13,0.010836885407624078,DIAGNOSIS_PANCREATIC FISTULA
14,0.01004007091335085,DIAGNOSIS_FEVER
15,0.009375223259989997,ADMISSION_LOCATION_PHYS REFERRAL/NORMAL DELI
16,0.009373774775025379,DIAGNOSIS_ACUTE MYELOGENOUS LEUKEMIA
17,0.008137808432781965,DIAGNOSIS_LIVER FAILURE;RENAL FAILURE
18,0.007820040680164736,INSURANCE_Private
19,0.007740658747460183,DIAGNOSIS_LYMPHOMA/SPINAL CORD COMPRESSION
20,0.00766570295725729,DIAGNOSIS_ABDOMINAL PAIN
21,0.0067977383983221,MARITAL_STATUS_MARRIED
22,0.006791371867999178,DIAGNOSIS_NON-HODGKIN LYMPHOMA
23,0.006730018635564323,Platelet Count_delta
24,0.006380379203043548,Albumin_normal
25,0.0063223393439311585,DIAGNOSIS_ESOPHAGEAL CA/SDA
26,0.0060954400056967535,Glucose_Blood_Gas_no test
27,0.006092049756564806,ADMISSION_LOCATION_TRANSFER FROM HOSP/EXTRAM
28,0.006053968726802473,"Bilirubin, Total_abnormal"
29,0.005823809944594816,DIAGNOSIS_ULCERATIVE COLITIS
30,0.005690800208617122,Bicarbonate_normal
31,0.005656624254806318,Phosphate_normal
32,0.005637030916271797,Urea Nitrogen_normal
33,0.0054425685054175655,MARITAL_STATUS_WIDOWED
34,0.005373325026098949,Platelet Count_abnormal
35,0.005353561673322729,DIAGNOSIS_CHEST PAIN
36,0.005324467378262313,DIAGNOSIS_LEUKEMIA
37,0.005322501421777731,Anion Gap_normal
38,0.005321744784456339,"Chloride, Whole Blood_abnormal"
39,0.005301045488894801,Albumin_abnormal
40,0.005268153475526868,ADMISSION_LOCATION_EMERGENCY ROOM ADMIT
41,0.005115639751054866,"Sodium, Whole Blood_normal"
42,0.004937807388851127,DIAGNOSIS_BLEEDING FROM TRACH
43,0.004807539047038034,"Potassium, Whole Blood_normal"
44,0.004796585568646966,INSURANCE_Medicare
45,0.004746713249090647,Bicarbonate_abnormal
46,0.004619168107095021,DIAGNOSIS_FEVER UNKNOWN ORIGIN-SEPSIS
47,0.004498302280029287,Platelet Count_normal
48,0.004491488424729953,Glucose_Blood_Gas_normal
49,0.004480042946770676,"Potassium, Whole Blood_abnormal"
50,0.0044448994601417385,DIAGNOSIS_PANCREATITIS
51,0.004427212833786093,Urea Nitrogen_abnormal
52,0.004420459117902681,DIAGNOSIS_ILIAC ANEURYSM /SDA
53,0.004345834558482371,DIAGNOSIS_BACK PAIN
54,0.004286700933888171,MARITAL_STATUS_SINGLE
55,0.004242729253103034,INSURANCE_Medicaid
56,0.004158025770818436,Chloride_abnormal
57,0.00415034619532244,DIAGNOSIS_ENTERIC FISTULA;DEHYDRATION
58,0.00408837155847641,INR(PT)_normal
59,0.004061750885076084,DIAGNOSIS_FTT;ABDOMINAL DISTENSION
60,0.004053680763261367,"Sodium, Whole Blood_abnormal"
61,0.004009134134320484,DIAGNOSIS_HYPONATREMIA
62,0.003995663364144353,White Blood Cells_normal
63,0.003982133081622442,INR(PT)_abnormal
64,0.003980590187579217,DIAGNOSIS_ETOH LIVER DISEASE
65,0.003957808241338556,DIAGNOSIS_PNEUMONIA
66,0.003929736537850478,ADMISSION_LOCATION_CLINIC REFERRAL/PREMATURE
67,0.003884753219435487,DIAGNOSIS_ACUTE MYELOGENOUS LUKEMIA\BONE MARROW TRANSPLANT
68,0.003863006068415428,DIAGNOSIS_MYASTHENIA GRAVIS
69,0.0038309318774982087,DIAGNOSIS_LYMPHOMA
70,0.0037982571770889062,DIAGNOSIS_INFECTED PIC LINE/FEVER
71,0.0037608687090859632,"Bilirubin, Total_normal"
72,0.003755993480619507,DIAGNOSIS_SEPTIC SHOCK
73,0.0037430977265335823,"Chloride, Whole Blood_normal"
74,0.003729658414394767,PTT_normal
75,0.0037067974198602173,Chloride_normal
76,0.0036817862566582023,PT_abnormal
77,0.0036645765305438976,Glucose_Chemistry_normal
78,0.003644036365741985,White Blood Cells_abnormal
79,0.0036220964794672185,DIAGNOSIS_HEMOPTYSIS
80,0.003548208256079446,Magnesium_normal
81,0.0035427007567698458,Magnesium_abnormal
82,0.003508269000536974,Glucose_Blood_Gas_abnormal
83,0.003478043813839079,PT_normal
84,0.0034573127588860917,DIAGNOSIS_LEUKEMIA\BMT
85,0.003453424662481877,Creatinine_abnormal
86,0.003445951086172427,Phosphate_abnormal
87,0.003423273533969407,Lactate_abnormal
88,0.0033751192649030233,Potassium_abnormal
89,0.0032910587426754232,DIAGNOSIS_?OBSTRUCTION
90,0.003290810259180975,Potassium_normal
91,0.003175730286291334,"Sodium, Whole Blood_no test"
92,0.0031331609660870015,DIAGNOSIS_ADENAL CARCINOMA OF LIVER/SDA
93,0.0031077464475702545,DIAGNOSIS_RIGHT FIB & TIB FRACTURE
94,0.0030996165434158994,Sodium_normal
95,0.003095017192675853,DIAGNOSIS_LIVER LACERATION
96,0.0030820096673220953,Sodium_abnormal
97,0.00307573230316584,ADMISSION_TYPE_NEWBORN
98,0.003061565918531985,DIAGNOSIS_COPD EXACERBATION-ASPIRATION
99,0.003059195452144081,"Chloride, Whole Blood_no test"
100,0.0030098587180710347,Creatinine_normal
101,0.002993114232546761,DIAGNOSIS_HYPOXIA
102,0.0029880404061186673,DIAGNOSIS_GROIN BLEED;CP;TELEMETRY
103,0.0029643701880056124,DIAGNOSIS_CORONARY ARTERY DISEASE
104,0.002928682621649016,Glucose_Chemistry_abnormal
105,0.002890789805161055,DIAGNOSIS_COLITIS
106,0.0028874442871661622,DIAGNOSIS_NEWBORN
107,0.0027685934610569883,PTT_abnormal
108,0.002767706548118572,"Potassium, Whole Blood_no test"
109,0.0027440702660813305,DIAGNOSIS_ALTERED MENTAL STATUS
110,0.0027201727858124952,DIAGNOSIS_LOWER EXTREMITY ARTERIAL INSUFFICIENCY
111,0.002675062777997093,DIAGNOSIS_CONGESTIVE HEART FAILURE;RESPIRATORY DISTRESS
112,0.0025776886473488562,DIAGNOSIS_L BASAL GANGLIA BLEED
113,0.0025450316206738605,DIAGNOSIS_RULE-OUT MYOCARDIAL INFARCTION
114,0.002503836221189184,Anion Gap_abnormal
115,0.002494235487188327,DIAGNOSIS_HEMATOMA
116,0.0024939596918938226,DIAGNOSIS_HEPATO RENAL SYNDROME
117,0.0024817864510688846,"DIAGNOSIS_ACUTE HEPATITISB, HYPOTENSION"
118,0.0024664088401488995,"DIAGNOSIS_BRONCHITIS,UTI,CHANGE IN MENTAL STATUS"
119,0.002456351307662458,Hematocrit_abnormal
120,0.002416815255338554,DIAGNOSIS_CONGESTIVE HEART FAILURE
121,0.002410021316995087,DIAGNOSIS_FAILURE TO THRIVE
122,0.0022906142993968986,DIAGNOSIS_FEVER; S/P LIVER TRANSPLANT
123,0.0022540333691157093,MARITAL_STATUS_UNKNOWN (DEFAULT)
124,0.002249275582591127,DIAGNOSIS_HYPOTENSION
125,0.002237149711746972,ADMISSION_LOCATION_TRANSFER FROM OTHER HEALT
126,0.0021811878188071556,DIAGNOSIS_CIRRHOSIS
127,0.0021641788044203737,DIAGNOSIS_S/P COLON RESECTION; ?ISCHEMIA
128,0.0021567545611092536,DIAGNOSIS_SUBDURAL HEMATOMA
129,0.0021485700330334864,DIAGNOSIS_RUPTURED AAA
130,0.00212773852583709,"Bilirubin, Total_no test"
131,0.0020834317491222787,MARITAL_STATUS_DIVORCED
132,0.0020646582372250695,Hematocrit_normal
133,0.0020382937344078232,DIAGNOSIS_CLOGGED DOBOFF
134,0.002004740331270934,DIAGNOSIS_INTRACRANIAL HEMORRHAGE
135,0.0019486382361287233,Glucose_Chemistry_no test
136,0.001906743689423827,DIAGNOSIS_NODULAR HISTIOCYTIC LYMPHOMA\BONE MARROW TRANSPLANT
137,0.0018914370143252935,White Blood Cells_delta
138,0.001882865122245497,DIAGNOSIS_FEVER;NRUTROPENIA
139,0.0018768431571821466,DIAGNOSIS_HYPERKALEMIA;HYPOTENSION
140,0.0018734754375015566,DIAGNOSIS_GASTROINTESTINAL BLEED
141,0.0018408483839923084,Phosphate_delta
142,0.0018234163641927218,DIAGNOSIS_C-SPINE FRACTURE
143,0.001811295865111915,DIAGNOSIS_RENAL FAILURE
144,0.00178008297934671,Hemoglobin_Hematology_abnormal
145,0.0017389805690503695,ADMISSION_TYPE_EMERGENCY
146,0.0016644556143813147,DIAGNOSIS_WEAKNESS
147,0.0016598288827333843,DIAGNOSIS_RESPIRATORY FAILURE
148,0.0016214188022978101,DIAGNOSIS_CLOT
149,0.0016120052519816503,Hemoglobin_Hematology_normal
150,0.0015460940142175614,DIAGNOSIS_LIVER FAILURE;CIRRHOSIS
151,0.0015397408324307857,DIAGNOSIS_NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION;PEUMONIA\CATH
152,0.001504199411646648,DIAGNOSIS_BLUNT TRAUMA
153,0.0014913921979475546,DIAGNOSIS_UPPER GASTROINTESTINAL BLEED
154,0.0014680509504074529,DIAGNOSIS_SUBARACHNOID HEMORRHAGE
155,0.0014336028019500196,DIAGNOSIS_NAUSEA;VOMITING;DIARRHEA
156,0.0013966293797331413,DIAGNOSIS_SHORTNESS OF BREATH
157,0.0013916792307336328,DIAGNOSIS_LOWER GI BLEED
158,0.0013843150719991247,Phosphate_no test
